,season_number,season_start,season_end,episode_number,pitch_number,original_air_date,startup_name,industry,business_description,pitchers_gender,pitchers_city,pitchers_state,pitchers_average_age,entrepreneur_names,company_website,multiple_entrepreneurs,us_viewership,original_ask_amount,original_offered_equity,valuation_requested,got_deal,total_deal_amount,total_deal_equity,deal_valuation,number_of_sharks_in_deal,investment_amount_per_shark,equity_per_shark,royalty_deal,loan,barbara_investment_amount,barbara_investment_equity,mark_investment_amount,mark_investment_equity,lori_investment_amount,lori_investment_equity,robert_investment_amount,robert_investment_equity,daymond_investment_amount,daymond_investment_equity,kevin_investment_amount,kevin_investment_equity,guest_investment_amount,guest_investment_equity,barbara_present,mark_present,lori_present,robert_present,daymond_present,kevin_present,kevin_h_present,guest_name,notes
966,11,29-Sep-19,15-May-20,18,967,,PrepWellAcademy,Business Services,PrepWell Academy - ,Male,,,,,N/A,,,100000,20.0,500000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Guest,N/A
967,11,29-Sep-19,15-May-20,19,968,,JustTheCheese,Food and Beverage,Just The Cheese - ,Male,,,,,N/A,,,500000,5.0,10000000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Guest,N/A
968,11,29-Sep-19,15-May-20,19,969,,Neuro,Food and Beverage,Neuro - ,Male,,,,,N/A,,,750000,5.0,15000000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Guest,N/A
969,11,29-Sep-19,15-May-20,19,970,,FirstSaturdayLime,Lifestyle/Home,First Saturday Lime - ,Mixed Team,,,,,N/A,,,100000,10.0,1000000,1,100000.0,25.0,400000.0,1.0,100000.0,25.0,,,,,,,,,,,,,100000.0,25.0,,,,,,,,,,No Guest,N/A
970,11,29-Sep-19,15-May-20,19,971,,SeriouslySlime,Children/Education,Seriously Slime - ,Female,,,,,N/A,,,90000,15.0,600000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Guest,N/A
971,11,29-Sep-19,15-May-20,20,972,01-May-20,LittleBurros,Lifestyle/Home,Little Burros - ,Mixed Team,Alexandria,VA,Middle,,N/A,1.0,,250000,10.0,2500000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Guest,N/A
972,11,29-Sep-19,15-May-20,20,973,01-May-20,Jiggaerobics,Fitness/Sports/Outdoors,Jiggaerobics - ,Male,,LA,,Baton Rouge,N/A,0.0,,50000,12.0,416667,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Guest,N/A
973,11,29-Sep-19,15-May-20,20,974,01-May-20,FriedGreenTomatoes,Food and Beverage,Fried Green Tomatoes - ,Female,,TN,,,N/A,0.0,,200000,15.0,1333333,1,200000.0,30.0,666667.0,1.0,200000.0,30.0,,,200000.0,30.0,,,,,,,,,,,,,,,,,,,,No Guest,N/A
974,11,29-Sep-19,15-May-20,20,975,01-May-20,MuralPainter,Business Services,Mural Painter - ,Female,Queens,NY,,,N/A,0.0,,300000,15.0,2000000,1,100000.0,15.0,666667.0,1.0,100000.0,15.0,,1.0,100000.0,15.0,,,,,,,,,,,,,,,,,,,,No Guest,N/A
975,11,29-Sep-19,15-May-20,21,976,,Proven,Health/Wellness,Proven - ,Female,,,,,N/A,,,500000,5.0,10000000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Guest,N/A
976,11,29-Sep-19,15-May-20,21,977,,Tanoshi,Software/Tech,Tanoshi - ,Male,,,,,N/A,,,500000,8.0,6250000,1,500000.0,20.0,2500000.0,1.0,500000.0,20.0,,,,,,,,,,,500000.0,20.0,,,,,,,,,,,,No Guest,N/A
977,11,29-Sep-19,15-May-20,21,978,,UnbuckleMe,Lifestyle/Home,UnbuckleMe - ,Female,,,,,N/A,,,100000,10.0,1000000,1,100000.0,20.0,500000.0,2.0,50000.0,10.0,,,,,50000.0,10.0,50000.0,10.0,,,,,,,,,,,,,,,,No Guest,N/A
978,11,29-Sep-19,15-May-20,21,979,,VanRobotics,Software/Tech,Van Robotics - ,Female,,,,,N/A,,,300000,10.0,3000000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Guest,N/A
979,11,29-Sep-19,15-May-20,22,980,,LordVonSchmitt,Fashion/Beauty,Lord Von Schmitt - ,Male,,,,,N/A,,,100000,10.0,1000000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Guest,N/A
980,11,29-Sep-19,15-May-20,22,981,,PottySafe,Children/Education,Potty Safe - ,Mixed Team,,,,,N/A,,,50000,15.0,333333,1,50000.0,20.0,250000.0,1.0,50000.0,20.0,,,,,,,50000.0,20.0,,,,,,,,,,,,,,,,No Guest,N/A
981,11,29-Sep-19,15-May-20,22,982,,ToughTie,Fashion/Beauty,Tough Tie - ,Male,,,,,N/A,,,100000,15.0,666667,1,100000.0,35.0,285714.0,1.0,100000.0,35.0,,,,,,,,,100000.0,35.0,,,,,,,,,,,,,,No Guest,N/A
982,11,29-Sep-19,15-May-20,22,983,,DadWare,Fashion/Beauty,DadWare - ,Male,,,,,N/A,,,100000,20.0,500000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Guest,N/A
983,11,29-Sep-19,15-May-20,23,984,,Salted,Business Services,Salted - ,Male,,,,,N/A,,,500000,5.0,10000000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Guest,N/A
984,11,29-Sep-19,15-May-20,23,985,,MCSquares,Lifestyle/Home,MC Squares - ,Male,,,,,N/A,,,300000,10.0,3000000,1,300000.0,25.0,1200000.0,1.0,300000.0,25.0,,,,,,,,,,,,,300000.0,25.0,,,,,,,,,,No Guest,N/A
985,11,29-Sep-19,15-May-20,23,986,,SlateChocolateMilk,Food and Beverage,Slate Chocolate Milk - ,Male,,,,,N/A,,,400000,10.0,4000000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Guest,N/A
986,11,29-Sep-19,15-May-20,23,987,,RescueReady,Lifestyle/Home,Rescue Ready - ,Male,,,,,N/A,,,75000,15.0,500000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Guest,N/A
987,11,29-Sep-19,15-May-20,24,988,15-May-20,YellowLeafHammocks,Fitness/Sports/Outdoors,Yellow Leaf Hammocks - ,Mixed Team,,,,,N/A,,4.55,400000,7.0,5714286,1,1000000.0,25.0,4000000.0,1.0,1000000.0,25.0,,,,,,,,,,,,,,,1000000.0,25.0,,,,,,,,No Guest,N/A
